Tree ID,Longitude,Latitude,Common Name,Condition Class / Infestation Pattern,List of Trees on  residential property,BTM positive trees self reported  on residential property,Number of BTM positive Tree Species on property,Dbh 1. inches,Dbh 2,Dbh 3,Dbh 4,Dbh 5,Dbh 6,Number Observed BTM Nests,Distance to Water (feet),Entry Source,BTM (Y/N),Interest in Help,Tree Type (Ornamental | Fruiting / Flowering | Bush),Proposed Treatment Type (Insert/Injection; Manual Removal; Organic Spray),"Treatm.  Priority (1: High, 2: Med, 3: Low)"
88,-69.62727604,44.55224549,Elm-American ,Good ,,,1,5,...,...,...,...,...,35,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
632,-69.65262698,44.57611534,Oak-Northern Red ,Fair ,,,1,19,...,...,...,...,...,35,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
40,-69.62733975,44.55069452,Birch-Paper ,Fair ,,,1,8,6,4,...,...,...,30,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
46,-69.62782513,44.55110006,Crabapple ,Good ,,,1,3,...,...,...,...,...,30,25-250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
38,-69.62748217,44.55064301,Crabapple ,Good ,,,1,5,...,...,...,...,...,30,25-250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
39,-69.62744157,44.55065334,Crabapple ,Good ,,,1,5,...,...,...,...,...,30,25-250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
536,-69.65270976,44.57625846,Oak-Northern Red ,Good ,,,1,13,1...,...,...,...,...,30,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
539,-69.65236748,44.57561059,Oak-Northern Red ,Good ,,,1,14,1,...,...,...,...,30,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
409,-69.66199199,44.52853189,Oak-Northern Red ,Good ,,,1,18,...,...,...,...,...,30,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
385,-69.6602494,44.53418565,Oak-Northern Red ,Fair ,,,1,19,...,...,...,...,...,30,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
405,-69.64312021,44.53454138,Oak-Northern Red ,Fair ,,,1,22,...,...,...,...,...,30,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
80,-69.6272928,44.5527073,Serviceberry ,Good ,,,1,1,...,...,...,...,...,30,<25 ,Bartlett Invent Feb 2022,Y,,Bush,Manual Removal,1
103,-69.62982312,44.54962414,Crabapple ,Good ,,,1,8,...,...,...,...,...,25,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
37,-69.62752049,44.55065079,Crabapple ,Good ,,,1,5,...,...,...,...,...,25,25-250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
117,-69.63316194,44.55088523,Elm-American ,Good ,,,1,19,...,...,...,...,...,25,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
231,-69.62812371,44.55040987,Elm-American ,Good ,,,1,21,...,...,...,...,...,25,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
548,-69.65218834,44.5743552,Oak-Northern Red ,Good ,,,1,2,...,...,...,...,...,25,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
447,-69.66124895,44.5277905,Oak-Northern Red ,Good ,,,1,17,...,...,...,...,...,25,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
383,-69.66060913,44.53424287,Oak-Northern Red ,Good ,,,1,18,...,...,...,...,...,25,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
403,-69.64313773,44.53452574,Oak-Northern Red ,Fair ,,,1,18,17,...,...,...,...,25,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
319,-69.64238261,44.53506726,Oak-Northern Red ,Good ,,,1,19,...,...,...,...,...,25,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
77,-69.6272516,44.55264931,Serviceberry ,Good ,,,1,2,...,...,...,...,...,25,<25 ,Bartlett Invent Feb 2022,Y,,Bush,Manual Removal,1
79,-69.62729552,44.55263123,Serviceberry ,Good ,,,1,2,...,...,...,...,...,25,<25 ,Bartlett Invent Feb 2022,Y,,Bush,Manual Removal,1
394,-69.65940466,44.52692271,Cherry-Black ,Fair ,,,1,16,...,...,...,...,...,20,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
36,-69.62756106,44.55066051,Crabapple ,Good ,,,1,4,...,...,...,...,...,20,25-250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
35,-69.62758786,44.55068272,Crabapple ,Good ,,,1,6,...,...,...,...,...,20,25-250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
89,-69.62723581,44.55280444,Elm-American ,Good ,,,1,3,...,...,...,...,...,20,<25 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
95,-69.62743323,44.55288368,Elm-American ,Good ,,,1,4,...,...,...,...,...,20,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
550,-69.65206597,44.57404144,Oak-Northern Red ,Good ,,,1,13,1...,1...,...,...,...,20,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
630,-69.65267938,44.5761987,Oak-Northern Red ,Good ,,,1,13,1...,...,...,...,...,20,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
645,-69.65080745,44.57097762,Oak-Northern Red ,Good ,,,1,15,...,...,...,...,...,20,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
642,-69.65206423,44.57371678,Oak-Northern Red ,Good ,,,1,16,...,...,...,...,...,20,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
556,-69.65110417,44.57096406,Oak-Northern Red ,Good ,,,1,20,...,...,...,...,...,20,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
629,-69.65324524,44.57743118,Oak-Northern Red ,Good ,,,1,25,...,...,...,...,...,20,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
404,-69.64313456,44.53455674,Oak-Northern Red ,Good ,,,1,21,...,...,...,...,...,20,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
255,-69.64359005,44.55103734,Oak-White ,Good ,,,1,19,...,...,...,...,...,20,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
301,-69.63062361,44.56818771,Pear-Callery ,Good ,,,1,6,6,6,5,...,...,20,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
199,-69.63042373,44.56816628,Pear-Callery ,Fair ,,,1,13,...,...,...,...,...,20,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
200,-69.63052176,44.56818053,Pear-Callery ,Fair ,,,1,14,...,...,...,...,...,20,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
196,-69.6299331,44.56809238,Pear-Callery ,Poor ,,,1,15,...,...,...,...,...,20,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
547,-69.65216823,44.57445103,Oak-Northern Red ,Good ,,,1,12,...,...,...,...,...,18,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
557,-69.65107462,44.57094074,Oak-Northern Red ,Good ,,,1,14,...,...,...,...,...,18,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
480,-69.65987791,44.52698536,Oak-Northern Red ,Good ,,,1,14,...,...,...,...,...,18,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
520,-69.65459088,44.57916694,Oak-Northern Red ,Fair ,,,1,16,15,12,11,9,...,16,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
413,-69.66215938,44.52860732,Cherry-Black ,Fair ,,,1,9,...,...,...,...,...,15,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
224,-69.62820905,44.55183039,Elm-American ,Fair ,,,1,8,7,...,...,...,...,15,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
195,-69.6427722,44.5509343,Elm-American ,Good ,,,1,12,...,...,...,...,...,15,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
204,-69.62762859,44.55329479,Elm-American ,Good ,,,1,3,...,...,...,...,...,15,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
202,-69.62753091,44.55318014,Elm-American ,Good ,,,1,4,...,...,...,...,...,15,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
541,-69.65227054,44.57530671,Oak-Northern Red ,Poor ,,,1,10,...,...,...,...,...,15,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
504,-69.65500414,44.57974918,Oak-Northern Red ,Good ,,,1,12,...,...,...,...,...,15,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
529,-69.65402914,44.57826316,Oak-Northern Red ,Good ,,,1,12,...,...,...,...,...,15,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
277,-69.64377073,44.53456225,Oak-Northern Red ,Good ,,,1,13,...,...,...,...,...,15,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
644,-69.65120883,44.57112587,Oak-Northern Red ,Good ,,,1,14,...,...,...,...,...,15,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
530,-69.65362163,44.57792831,Oak-Northern Red ,Good ,,,1,17,...,...,...,...,...,15,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
612,-69.65497412,44.58014626,Oak-Northern Red ,Good ,,,1,18,...,...,...,...,...,15,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
555,-69.65112297,44.57101406,Oak-Northern Red ,Good ,,,1,20,...,...,...,...,...,15,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
613,-69.6549539,44.5801069,Oak-Northern Red ,Good ,,,1,20,...,...,...,...,...,15,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
639,-69.65200715,44.57447261,Oak-Northern Red ,Fair ,,,1,22,...,...,...,...,...,15,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
551,-69.65209514,44.57396555,Oak-Northern Red ,Good ,,,1,24,13,12,12,...,...,15,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
476,-69.65981635,44.52698401,Oak-Northern Red ,Good ,,,1,15,...,...,...,...,...,15,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
402,-69.64311727,44.53453753,Oak-Northern Red ,Poor ,,,1,16,...,...,...,...,...,15,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
397,-69.65951182,44.52693367,Oak-Northern Red ,Good ,,,1,20,...,...,...,...,...,15,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
399,-69.65967936,44.52694735,Oak-Northern Red ,Good ,,,1,25,...,...,...,...,...,15,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
198,-69.63023696,44.5681316,Pear-Callery ,Poor ,,,1,12,5,...,...,...,...,15,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
532,-69.65303682,44.5772068,Oak-Northern Red ,Good ,,,1,15,...,...,...,...,...,14,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
343,-69.66273079,44.52888795,Cherry-Black ,Good ,,,1,6,...,...,...,...,...,13,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
348,-69.66239343,44.52878788,Cherry-Black ,Fair ,,,1,11,...,...,...,...,...,12,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
28,-69.62758631,44.55079453,Elm-American ,Good ,,,1,9,...,...,...,...,...,12,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
331,-69.64267103,44.53471302,Elm-American ,Good ,,,1,20,...,...,...,...,...,12,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
492,-69.6559364,44.5805621,Oak-Northern Red ,Good ,,,1,12,...,...,...,...,...,12,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
538,-69.65234994,44.5756568,Oak-Northern Red ,Fair ,,,1,14,...,...,...,...,...,12,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
393,-69.65937963,44.52722559,Oak-Northern Red ,Good ,,,1,13,...,...,...,...,...,11,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
320,-69.64236979,44.53506288,Oak-Northern Red ,Good ,,,1,20,...,...,...,...,...,11,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
448,-69.66127637,44.52777909,Cherry-Black ,Poor ,,,1,7,6,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
445,-69.66015207,44.53420321,Cherry-Black ,Fair ,,,1,10,9,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
351,-69.66236943,44.52873184,Cherry-Black ,Poor ,,,1,12,12,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
350,-69.66235045,44.52875797,Cherry-Black ,Poor ,,,1,13,...,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
299,-69.64310509,44.5346416,Cherry-Black ,Fair ,,,1,6,...,...,...,...,...,10,25-250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
30,-69.62748159,44.55081456,Crabapple ,Good ,,,1,5,...,...,...,...,...,10,25-250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
32,-69.62774616,44.55068667,Elm-American ,Good ,,,1,5,...,...,...,...,...,10,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
339,-69.6629997,44.52905155,Maple-Sugar ,Good ,,,1,10,...,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
401,-69.64319637,44.53456748,Maple-Sugar ,Good ,,,1,19,...,...,...,...,...,10,25-250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
608,-69.65513893,44.58027553,Oak-Northern Red ,Good ,,,1,11,...,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
638,-69.65206818,44.57468374,Oak-Northern Red ,Fair ,,,1,11,...,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
534,-69.65293689,44.57690561,Oak-Northern Red ,Good ,,,1,14,...,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
606,-69.65516585,44.58030435,Oak-Northern Red ,Good ,,,1,14,...,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
634,-69.65230512,44.57544751,Oak-Northern Red ,Good ,,,1,14,...,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
615,-69.65495702,44.58006617,Oak-Northern Red ,Good ,,,1,15,...,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
395,-69.65942426,44.52694902,Oak-Northern Red ,Good ,,,1,16,...,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
643,-69.65133159,44.5721718,Oak-Northern Red ,Good ,,,1,16,...,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
611,-69.65504533,44.58020694,Oak-Northern Red ,Good ,,,1,17,...,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
603,-69.65520689,44.58040052,Oak-Northern Red ,Good ,,,1,19,18,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
329,-69.64257227,44.53476168,Oak-Northern Red ,Good ,,,1,21,...,...,...,...,...,10,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
426,-69.65900227,44.5341433,Poplar-Aspen ,Fair ,,,1,8,...,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
427,-69.6590225,44.53414999,Poplar-Aspen ,Good ,,,1,10,...,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
428,-69.65908337,44.53413742,Poplar-Aspen ,Fair ,,,1,14,...,...,...,...,...,10,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
62,-69.62710292,44.5522326,Serviceberry ,Good ,,,1,2,...,...,...,...,...,10,<25 ,Bartlett Invent Feb 2022,Y,,Bush,Manual Removal,1
531,-69.65336166,44.57763509,Oak-Northern Red ,Good ,,,1,9,...,...,...,...,...,9,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
544,-69.65241095,44.57498831,Oak-Northern Red ,Good ,,,1,10,...,...,...,...,...,9,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
545,-69.65236595,44.57493243,Oak-Northern Red ,Fair ,,,1,12,...,...,...,...,...,9,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
512,-69.65478777,44.57963848,Oak-Northern Red ,Poor ,,,1,14,...,...,...,...,...,9,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
537,-69.65268259,44.57623676,Oak-Northern Red ,Good ,,,1,16,...,...,...,...,...,9,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
474,-69.65973543,44.52693721,Cherry-Black ,Poor ,,,1,14,...,...,...,...,...,8,25-250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
528,-69.65427843,44.57851488,Oak-Northern Red ,Good ,,,1,7,...,...,...,...,...,8,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
533,-69.65306835,44.57720163,Oak-Northern Red ,Fair ,,,1,16,...,...,...,...,...,8,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
478,-69.65984036,44.52696524,Oak-Northern Red ,Good ,,,1,13,...,...,...,...,...,8,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
345,-69.66260402,44.52888256,Elm-American ,Good ,,,1,6,...,...,...,...,...,7,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
114,-69.63295252,44.55078112,Elm-Chinese ,Fair ,,,1,8,...,...,...,...,...,7,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
636,-69.65230187,44.57540352,Oak-Northern Red ,Good ,,,1,6,...,...,...,...,...,7,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
526,-69.65439304,44.57881204,Oak-Northern Red ,Good ,,,1,11,...,...,...,...,...,7,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
535,-69.65277791,44.57631,Oak-Northern Red ,Good ,,,1,13,8,...,...,...,...,7,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
524,-69.65433897,44.57864415,Oak-Northern Red ,Fair ,,,1,14,...,...,...,...,...,7,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
641,-69.65195175,44.57416678,Oak-Northern Red ,Fair ,,,1,14,...,...,...,...,...,7,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
640,-69.65199138,44.57436582,Oak-Northern Red ,Good ,,,1,23,...,...,...,...,...,7,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
90,-69.62718586,44.55285557,Elm-American ,Good ,,,1,4,...,...,...,...,...,6,<25 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
540,-69.65226799,44.57530906,Oak-Northern Red ,Poor ,,,1,10,...,...,...,...,...,6,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
543,-69.65225454,44.57537905,Oak-Northern Red ,Good ,,,1,10,...,...,...,...,...,6,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
546,-69.65229843,44.57468022,Oak-Northern Red ,Fair ,,,1,10,...,...,...,...,...,6,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
519,-69.6546466,44.57937535,Oak-Northern Red ,Good ,,,1,11,8,...,...,...,...,6,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
525,-69.65439971,44.57876519,Oak-Northern Red ,Fair ,,,1,12,...,...,...,...,...,6,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
374,-69.66076598,44.53402736,Oak-Northern Red ,Good ,,,1,13,...,...,...,...,...,6,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
552,-69.65206606,44.57393026,Oak-Northern Red ,Fair ,,,1,17,...,...,...,...,...,6,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
326,-69.6425897,44.53476084,Oak-Northern Red ,Good ,,,1,19,...,...,...,...,...,6,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
489,-69.65621874,44.58058279,Poplar-Bigtooth Aspen ,Good ,,,1,14,...,...,...,...,...,6,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
458,-69.66122492,44.52740095,Cherry-Black ,Poor ,,,1,8,...,...,...,...,...,5,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
455,-69.66126843,44.52750085,Cherry-Black ,Fair ,,,1,10,...,...,...,...,...,5,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
352,-69.66231483,44.52871846,Cherry-Black ,Poor ,,,1,12,11,...,...,...,...,5,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
477,-69.65983454,44.52693969,Cherry-Black ,Poor ,,,1,12,...,...,...,...,...,5,25-250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
311,-69.64232827,44.53535187,Elm-American ,Fair ,,,1,15,...,...,...,...,...,5,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
206,-69.62812148,44.55318007,Maple-Sugar ,Good ,,,1,14,...,...,...,...,...,5,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
207,-69.62813864,44.55320396,Maple-Sugar ,Fair ,,,1,14,12,6,6,5,5,5,>250 ,Bartlett Invent Feb 2022,Y,,Fruiting / Flowering,Organic Spray,1
444,-69.66005798,44.53416864,Oak-Northern Red ,Good ,,,1,6,...,...,...,...,...,5,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
631,-69.65265739,44.57618217,Oak-Northern Red ,Good ,,,1,8,...,...,...,...,...,5,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
637,-69.65211925,44.57474833,Oak-Northern Red ,Good ,,,1,8,...,...,...,...,...,5,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
553,-69.65205625,44.57379336,Oak-Northern Red ,Good ,,,1,9,...,...,...,...,...,5,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
610,-69.65504194,44.58023014,Oak-Northern Red ,Good ,,,1,9,...,...,...,...,...,5,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
635,-69.65229882,44.57544782,Oak-Northern Red ,Good ,,,1,11,...,...,...,...,...,5,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
633,-69.65229111,44.5754978,Oak-Northern Red ,Good ,,,1,13,...,...,...,...,...,5,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
607,-69.65506126,44.5802936,Oak-Northern Red ,Good ,,,1,17,...,...,...,...,...,5,>250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
45,-69.62771206,44.55104351,Oak-Northern Red ,Fair ,,,1,3,...,...,...,...,...,5,25-250 ,Bartlett Invent Feb 2022,Y,,Ornamental,Insert/Injection,1
